"Load Name","PTID","Subzone","Zone"
"ENSPECVT_VS_MOHAWKVY",987522,"NMPC MOHAWK VLY","MHK VL"
"ENSPECVT_VS_NORTH",985522,"NMPC NORTH","NORTH"
"ENSPECVT_VS_NY-CITY",997522,"CON ED NY CITY","N.Y.C."
"ENSPECVT_VS_WEST",979522,"NMPC WEST","WEST"
"ENT-FITZSP_SP_FITZ1",312294,"NMPC CENTRAL","CENTRL"
"ENT-FITZSP_SP_FITZ2",313294,"NMPC CENTRAL","CENTRL"
"ENTERGY-FITZ_MN_CENTRAL",303294,"NMPC CENTRAL","CENTRL"
"ENTERGY-IP2_CE_MILLWOOD",108300,"CON ED MILLWOOD","MILLWD"
"ENTERGY-IP3_CE_MILLWOOD",108295,"CON ED MILLWOOD","MILLWD"
"ENTNPMSP_SP_FITZPATRICK",312583,"NMPC CENTRAL","CENTRL"
"ENTNPMSP_SP_IP2",112583,"CON ED MILLWOOD","MILLWD"
"ENTNPMSP_SP_IP3",113583,"CON ED MILLWOOD","MILLWD"
"ENTRA_CE_DUNWOODI",109805,"CON ED DUNWOODIE","DUNWOD"
"ENTRA_CE_MILLWOOD",108805,"CON ED MILLWOOD","MILLWD"
"ENTRA_CE_NY-CITY",110805,"CON ED NY CITY","N.Y.C."
"ENTRA_OR_HUDSONVY",607805,"O&R HUDSON VLY","HUD VL"
"ENTSOL_CE_DUNWOODI",109518,"CON ED DUNWOODIE","DUNWOD"
"ENTSOL_CE_MILLWOOD",108518,"CON ED MILLWOOD","MILLWD"
"ENTSOL_CE_NY-CITY",110518,"CON ED NY CITY","N.Y.C."
"ENTSOL_CH_HUDSONVY",507518,"CENT HUD HUDSON VLY","HUD VL"
"ENTSOL_CH_MOHAWKVY",505518,"CENT HUD MOHAWK VLY","MHK VL"
"ENTSOL_NM_CAPITAL",306518,"NMPC CAPITAL","CAPITL"
"ENTSOL_NM_CENTRAL",303518,"NMPC CENTRAL","CENTRL"
"ENTSOL_NM_GENESEE",302518,"NMPC GENESEE","GENESE"
"ENTSOL_NM_MOHAWKVY",305518,"NMPC MOHAWK VLY","MHK VL"
"ENTSOL_NM_NORTH",304518,"NMPC NORTH","NORTH"
"ENTSOL_NM_WEST",301518,"NMPC WEST","WEST"
"ENTSOL_NY_CAPITAL",406518,"NYSEG CAPITAL","CAPITL"
"ENTSOL_NY_CENTRAL",403518,"NYSEG CENTRAL","CENTRL"
"ENTSOL_NY_HUDSONVY",407518,"NYSEG HUDSON VLY","HUD VL"
"ENTSOL_NY_MILLWOOD",408518,"NYSEG MILLWOOD","MILLWD"
"ENTSOL_NY_MOHAWKVY",405518,"NYSEG MOHAWK VLY","MHK VL"
"ENTSOL_NY_NORTH",404518,"NYSEG NORTH","NORTH"
"ENTSOL_NY_WEST",401518,"NYSEG WEST","WEST"
"ENTSOL_OR_HUDSONVY",607518,"O&R HUDSON VLY","HUD VL"
"ENTSOL_RG_GENESEE",802518,"RG&E GENESEE","GENESE"
"ENVIROGN_CE_DUNWOODI",109364,"CON ED DUNWOODIE","DUNWOD"
"ENVIROGN_CE_MILLWOOD",108364,"CON ED MILLWOOD","MILLWD"
"ENVIROGN_CE_NY-CITY",110364,"CON ED NY CITY","N.Y.C."
"ENVIROGN_NM_CAPITAL",306364,"NMPC CAPITAL","CAPITL"
"ENVIROGN_NM_CENTRAL",303364,"NMPC CENTRAL","CENTRL"
"ENVIROGN_NM_GENESEE",302364,"NMPC GENESEE","GENESE"
"ENVIROGN_NM_MOHAWKVY",305364,"NMPC MOHAWK VLY","MHK VL"
"ENVIROGN_NM_NORTH",304364,"NMPC NORTH","NORTH"
"ENVIROGN_NM_WEST",301364,"NMPC WEST","WEST"
"ENVIROGN_NY_CAPITAL",406364,"NYSEG CAPITAL","CAPITL"
"ENVIROGN_NY_CENTRAL",403364,"NYSEG CENTRAL","CENTRL"
"ENVIROGN_NY_HUDSONVY",407364,"NYSEG HUDSON VLY","HUD VL"
